INFO  - 2015-10-12 08:50:28.585; org.apache.solr.core.SolrCore; solr.StandardDirectoryFactory
INFO  - 2015-10-12 08:50:28.600; org.apache.solr.core.SolrCore; [dbsimm] Opening new SolrCore at /home/eslider/Projects/dbsimm-flimas/bin/solr/example/../../../application/solr/solr/dbsimm/, dataDir=/home/eslider/Projects/dbsimm-flimas/application/solr/solr/dbsimm/data/
INFO  - 2015-10-12 08:50:28.600; org.apache.solr.core.SolrCore; JMX monitoring not detected for core: dbsimm
INFO  - 2015-10-12 08:50:28.608; org.apache.solr.schema.IndexSchema; default search field in schema is text
INFO  - 2015-10-12 08:50:28.608; org.apache.solr.schema.IndexSchema; default search field in schema is text
INFO  - 2015-10-12 08:50:28.608; org.apache.solr.schema.IndexSchema; query parser default operator is AND
INFO  - 2015-10-12 08:50:28.608; org.apache.solr.schema.IndexSchema; query parser default operator is AND
INFO  - 2015-10-12 08:50:28.609; org.apache.solr.schema.IndexSchema; unique key field: id
INFO  - 2015-10-12 08:50:28.612; org.apache.solr.core.CoreContainer; Creating SolrCore 'Digitizer' using configuration from instancedir /home/eslider/Projects/dbsimm-flimas/bin/solr/example/../../../application/solr/solr/Digitizer/
INFO  - 2015-10-12 08:50:28.612; org.apache.solr.core.CachingDirectoryFactory; return new directory for /home/eslider/Projects/dbsimm-flimas/application/solr/solr/dbsimm/data
INFO  - 2015-10-12 08:50:28.612; org.apache.solr.core.SolrCore; solr.StandardDirectoryFactory
INFO  - 2015-10-12 08:50:28.613; org.apache.solr.core.SolrCore; [Digitizer] Opening new SolrCore at /home/eslider/Projects/dbsimm-flimas/bin/solr/example/../../../application/solr/solr/Digitizer/, dataDir=/home/eslider/Projects/dbsimm-flimas/application/solr/solr/Digitizer/data/
INFO  - 2015-10-12 08:50:28.613; org.apache.solr.core.SolrCore; JMX monitoring not detected for core: Digitizer
INFO  - 2015-10-12 08:50:28.613; org.apache.solr.core.CachingDirectoryFactory; return new directory for /home/eslider/Projects/dbsimm-flimas/application/solr/solr/Digitizer/data
INFO  - 2015-10-12 08:50:28.617; org.apache.solr.core.SolrCore; New index directory detected: old=null new=/home/eslider/Projects/dbsimm-flimas/application/solr/solr/Digitizer/data/index/
INFO  - 2015-10-12 08:50:28.617; org.apache.solr.schema.IndexSchema; unique key field: id
INFO  - 2015-10-12 08:50:28.617; org.apache.solr.core.CachingDirectoryFactory; return new directory for /home/eslider/Projects/dbsimm-flimas/application/solr/solr/Digitizer/data/index
INFO  - 2015-10-12 08:50:28.618; org.apache.solr.core.CoreContainer; Creating SolrCore 'Immobilien' using configuration from instancedir /home/eslider/Projects/dbsimm-flimas/bin/solr/example/../../../application/solr/solr/Immobilien/
INFO  - 2015-10-12 08:50:28.618; org.apache.solr.core.SolrCore; solr.StandardDirectoryFactory
INFO  - 2015-10-12 08:50:28.618; org.apache.solr.core.SolrCore; [Immobilien] Opening new SolrCore at /home/eslider/Projects/dbsimm-flimas/bin/solr/example/../../../application/solr/solr/Immobilien/, dataDir=/home/eslider/Projects/dbsimm-flimas/application/solr/solr/Immobilien/data/
INFO  - 2015-10-12 08:50:28.619; org.apache.solr.core.SolrCore; JMX monitoring not detected for core: Immobilien
INFO  - 2015-10-12 08:50:28.619; org.apache.solr.core.CachingDirectoryFactory; return new directory for /home/eslider/Projects/dbsimm-flimas/application/solr/solr/Immobilien/data
INFO  - 2015-10-12 08:50:28.619; org.apache.solr.core.SolrCore; New index directory detected: old=null new=/home/eslider/Projects/dbsimm-flimas/application/solr/solr/Immobilien/data/index/
INFO  - 2015-10-12 08:50:28.620; org.apache.solr.core.CachingDirectoryFactory; return new directory for /home/eslider/Projects/dbsimm-flimas/application/solr/solr/Immobilien/data/index
INFO  - 2015-10-12 08:50:28.617; org.apache.solr.core.SolrCore; New index directory detected: old=null new=/home/eslider/Projects/dbsimm-flimas/application/solr/solr/dbsimm/data/index/
INFO  - 2015-10-12 08:50:28.626; org.apache.solr.core.CachingDirectoryFactory; return new directory for /home/eslider/Projects/dbsimm-flimas/application/solr/solr/dbsimm/data/index
INFO  - 2015-10-12 08:50:28.683; org.apache.solr.core.SolrCore; no updateRequestProcessorChain defined as default, creating implicit default
INFO  - 2015-10-12 08:50:28.683; org.apache.solr.core.SolrCore; no updateRequestProcessorChain defined as default, creating implicit default
INFO  - 2015-10-12 08:50:28.683; org.apache.solr.core.SolrCore; no updateRequestProcessorChain defined as default, creating implicit default
INFO  - 2015-10-12 08:50:28.691; org.apache.solr.core.RequestHandlers; created /update: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2015-10-12 08:50:28.691; org.apache.solr.core.RequestHandlers; created /update: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2015-10-12 08:50:28.691; org.apache.solr.core.RequestHandlers; created /update: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2015-10-12 08:50:28.692; org.apache.solr.core.RequestHandlers; created /update/json: org.apache.solr.handler.UpdateRequestHandler
